repository_owner,repository_name,pr_number,waste,num_commits,status
facebook,hhvm,6833,79066,1,abandoned
facebook,hhvm,6829,78051,1,abandoned
facebook,hhvm,6845,500,4,abandoned
facebook,hhvm,6843,3229019,3,open
facebook,hhvm,6832,264,2,abandoned
facebook,hhvm,6844,110955,7,abandoned
facebook,hhvm,6813,0,1,abandoned
facebook,hhvm,6818,2376,3,abandoned
facebook,hhvm,6838,17825,7,abandoned
facebook,hhvm,6814,29952,5,abandoned
facebook,hhvm,6826,13504,4,abandoned
facebook,hhvm,6811,14655,1,abandoned
facebook,hhvm,6794,51333,2,abandoned
facebook,hhvm,6808,2721,2,abandoned
facebook,hhvm,6787,59,1,merged
facebook,hhvm,6791,1200,1,abandoned
facebook,hhvm,6790,283,3,abandoned
facebook,hhvm,6797,55308,1,abandoned
facebook,hhvm,6779,163892,1,abandoned
facebook,hhvm,6766,61,1,abandoned
facebook,hhvm,6767,477,2,abandoned
facebook,hhvm,6774,205,1,merged
facebook,hhvm,6760,55,1,abandoned
facebook,hhvm,6772,875,5,abandoned
facebook,hhvm,6765,2013,2,abandoned
facebook,hhvm,6800,1961866,22,abandoned
facebook,hhvm,6821,393812,41,abandoned
facebook,hhvm,6737,7,1,abandoned
facebook,hhvm,6736,59,1,abandoned
facebook,hhvm,6742,163,1,abandoned
facebook,hhvm,6727,19,1,abandoned
facebook,hhvm,6757,214,1,abandoned
facebook,hhvm,6726,36,3,abandoned
facebook,hhvm,6721,9,1,abandoned
facebook,hhvm,6725,17,2,abandoned
facebook,hhvm,6723,2,1,abandoned
facebook,hhvm,6717,87,1,abandoned
facebook,hhvm,6724,428,1,abandoned
facebook,hhvm,6720,65,1,abandoned
facebook,hhvm,6707,765,1,abandoned
facebook,hhvm,6729,1338,5,abandoned
facebook,hhvm,6691,441,1,merged
facebook,hhvm,6704,2,1,abandoned
facebook,hhvm,6706,9,1,abandoned
facebook,hhvm,6675,75,1,abandoned
facebook,hhvm,6672,308,2,abandoned
facebook,hhvm,6670,221,3,abandoned
facebook,hhvm,6669,376945,1,abandoned
facebook,hhvm,6713,4778012,3,abandoned
facebook,hhvm,6664,3,1,abandoned
facebook,hhvm,6674,58,1,abandoned
facebook,hhvm,6659,34835,1,abandoned
facebook,hhvm,6682,17,1,abandoned
facebook,hhvm,6673,36,1,abandoned
facebook,hhvm,6658,35708,1,abandoned
facebook,hhvm,6686,8835,5,abandoned
facebook,hhvm,6665,1215677,9,abandoned
facebook,hhvm,6656,35631,1,abandoned
facebook,hhvm,6644,183,1,abandoned
facebook,hhvm,6657,35791,1,abandoned
facebook,hhvm,6635,1,1,abandoned
facebook,hhvm,6637,436,1,merged
facebook,hhvm,6619,883,1,abandoned
facebook,hhvm,6634,15252,1,abandoned
facebook,hhvm,6614,3,2,abandoned
facebook,hhvm,6621,6763,3,abandoned
facebook,hhvm,6608,266,1,abandoned
facebook,hhvm,6627,60304,3,abandoned
facebook,hhvm,6607,5093196,1,abandoned
facebook,hhvm,6602,46997,2,abandoned
facebook,hhvm,6603,49967,1,abandoned
facebook,hhvm,6604,51011,1,abandoned
facebook,hhvm,6605,51188,2,abandoned
facebook,hhvm,6601,48026,1,abandoned
